"";"ssp";"climate_target";"period";"Dt";"a";"Ca";"Ce";"Ck";"Ckc";"Ckg";"Cko";"Ckr";"Cp";"Da";"De";"DF";"Dk";"Dkc";"Dkg";"Dko";"Dkr";"Dp";"Dpecoal";"Dpegas";"Dpeoil";"Dpeother";"e";"emi_coal";"emi_gas";"emi_oil";"emi_other";"F";"k";"k_coal";"k_gas";"k_oil";"k_other";"p";"pe";"pe_coal";"pe_gas";"pe_oil";"pe_other";"R"
"1";"SSP1";"26 or 34";2025;"2015-2025";3,54856128056575;384,607136722263;-469,697668146694;111,886124675631;2,2227942563182;17,5258314610685;7,33042403241846;60,698271758355;174,998906748801;1,18185468888929;-0,00314010893820248;201,7945;5,52341263248565;0,109731299661668;0,865186806384792;0,36187647770908;2,99645377809;193,895359039307;0,0614999999999997;2,409;0,904;-1,386;0,00500715218941517;359,493767266522;226,624224635261;386,052008098217;0;1026,17;49,9437860462853;79,8786284338456;57,5334411361415;73,2546504930202;0;1156,36450195312;20,5465;4,5005;3,939;5,27;6,8385;20,2567021731419
"2";"SSP1";"Ref";2025;"2015-2025";3,54856128056575;414,00532281289;-432,719557591218;158,35643483382;45,6333299702656;25,9395942029385;12,6015285347456;48,7058521254631;188,741299944507;1,18185468888929;-0,00280575748219564;328,3835;7,45724927858934;2,14894404106473;1,22153558432758;0,593425456145624;2,29363385837048;193,895359039307;0,864;2,8185;1,0575;-1,148;0,00546859538755878;454,647277036602;258,253825700271;403,703397263127;0;1173,41;52,2909982174688;83,5134601463266;58,9217033311136;73,7290470757241;0;1156,36450195312;22,44;5,444;4,383;5,4755;7,1365;21,2352341886278
"3";"SSP2";"26 or 34";2025;"2015-2025";3,3392233155165;284,841761988939;-305,845707740906;-107,312974500644;-80,8172387816978;23,7961191227982;43,2844315972915;-344,633618518998;182,197101919277;0,948627044054496;-0,00328445907546341;53,8801816666668;-3,97430079357818;-2,99303991637072;0,881281462506201;1,60302471949153;-12,763392962941;218,25;-1,422;2,3015;1,158;3,144;0,00764212193190815;286,801295;179,984163333333;393,203305;1686,889905;859,988763333333;29,699846779021;94,638275862069;48,9752825396825;73,2904575955266;98,937824340176;1134,695;28,956;3,0305;3,675;5,365;17,05;27,0017243470961
"4";"SSP2";"Ref";2025;"2015-2025";3,33644723912593;329,770272596703;-285,528593601195;152,27022106175;100,069975592048;49,5132060960973;49,5689042099866;-183,945961827179;215,179618276076;0,934611886213319;-0,00264437012560695;411,691518333333;5,45623166793413;3,58576329651026;1,77418487474921;1,77618068069687;-6,59125451524134;218,25;1,8265;2,4525;1,3745;1,9125;0,00822562964723906;586,253891666667;218,153741666667;409,13092;1751,09713666667;1213,53855333333;38,9691581302249;94,6333965563627;56,0374368524703;73,3078158036194;110,657343781267;1134,695;31,141;6,195;3,893;5,581;15,8245;27,9075798699367
"5";"SSP3";"26 or 34";2025;"2015-2025";2,91637108311903;286,312873721255;-269,126127430056;1,98254302880029;86,0770517774643;1,71689908485868;41,659410630342;-127,470818463865;273,74696068;0,654809335986275;-0,00210797722369342;292,91625;0,0771609810233471;3,3501364975497;0,0668220642787005;1,62139280025455;-4,9611903810596;269,2948;1,7635;0,2384;1,3604;3,2406;0,00790104385028989;758,19003274805;53,1067328778658;456,975934374085;0;1268,2727;44,102864852741;113,855168787484;59,9195902943313;89,9098757277937;0;1248,0115;28,75715;6,65925;0,8863;5,0826;16,129;25,6935954222824
"6";"SSP3";"Ref";2025;"2015-2025";2,91971420135151;297,670885713024;-267,303382083545;28,1089513584884;111,478940030969;1,79772529107391;37,3061515122477;-122,473865475802;283,715295012033;0,657396872956071;-0,00203806311471844;342,19175;1,08234458843224;4,29253393084137;0,0692220145627748;1,43648586137387;-4,71589721834577;269,2948;2,276;0,27465;1,31765;3,0873;0,00802158570818579;833,385600757536;55,8001610601216;447,490438182342;0;1336,6762;45,7306166575719;113,043589237687;59,5169975575933;89,3506590490376;0;1248,0115;29,22935;7,37225;0,93755;5,00825;15,9114;25,9704272178271
"7";"SSP4";"26 or 34";2025;"2015-2025";2,49281374064876;118,386228618402;-89,3219070804001;-1,79289755680624;20,146760854309;29,0925556895403;18,8706801623963;-69,9028942630519;105,510285329971;0,610202888194143;-0,00220260874411708;132,781709311166;-0,0736454294203988;0,827552499535263;1,19501181122119;0,775135946133071;-2,87134568630992;262,7215;0,4322914;1,6456862;1,02974125;4,603114289555;0,00946944414754801;82,4393091850763;124,915233475798;280,858589566459;0;488,213132227333;17,4142672301749;85,3038994318989;43,438812375317;67,0854611504793;0;1187,654;28,035238335;0,966419;2,8756595;4,1865791;20,006580735;24,3449942639567
"8";"SSP4";"Ref";2025;"2015-2025";2,49281374064876;140,351105463683;-90,5313031729105;144,198368071456;83,2958005486277;60,0808194747115;61,2334077880881;-60,4116597399708;125,188267402271;0,610202888194143;-0,0018924774029909;319,2064377645;5,8254732498452;3,36506899772968;2,42720643346859;2,47376987574231;-2,44057205709537;262,7215;1,2354194;2,1133012;1,22822175;4,060543167055;0,00978652814886723;170,24534522957;169,483854103114;333,631425459482;0;673,360624792166;23,2401700708768;96,4669987316269;50,7807281820533;76,2180252174018;0;1187,654;28,973997296;1,764804;3,3375625;4,3773297;19,494301096;24,7530735936841
"9";"SSP5";"26 or 34";2025;"2015-2025";3,28707119144227;456,99211164468;-339,677010729647;346,74747593079;45,3382499689067;68,5132289561019;200,814182313916;32,1253736768229;170,337423154177;1,30972653043944;-0,00362238963752556;634,4;13,1904106689744;1,72468490072545;2,60627023675532;7,63905065426788;1,22206187818403;183,95;0,81785;3,82755;5,1435;-1,29065;0,00837985692242951;284,68989130819;286,906462614893;667,203646076917;0;1238,8;41,4730498828256;94,0657166060432;49,1152037344677;73,695658704028;0;1084,4;29,87;3,0265;5,8415;9,0535;11,94565;26,2878453622666
"10";"SSP5";"Ref";2025;"2015-2025";3,31335300627075;506,569050467064;-306,780666194341;485,622502669992;180,633032068585;82,5332802741661;186,855611711553;35,5993930362755;186,489113057285;1,33822945693431;-0,00305742838138163;871,9;17,9134398379931;6,66311576363203;3,04445313529507;6,89265167981915;1,31317552608914;183,95;3,16285;4,38505;4,6585;-1,50135;0,00889646534929029;503,178624553961;321,643301437259;641,47807400878;0;1466,3;45,87204755201;95,2448655222338;50,1314372564307;75,1937725950979;0;1084,4;31,965;5,283;6,416;8,531;11,73435;27,109394234826
